"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/07/2017","AQS","060990005","1","10.8","ug/m3 LC","54","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/31/2017","AQS","060990005","1","39.3","ug/m3 LC","110","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"02/24/2017","AQS","060990005","1","6.5","ug/m3 LC","36","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"03/20/2017","AQS","060990005","1","7","ug/m3 LC","39","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"04/01/2017","AQS","060990005","1","9.5","ug/m3 LC","52","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"04/13/2017","AQS","060990005","1","2.8","ug/m3 LC","16","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"04/25/2017","AQS","060990005","1","2.8","ug/m3 LC","16","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"05/07/2017","AQS","060990005","1","8.7","ug/m3 LC","48","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"05/19/2017","AQS","060990005","1","6.8","ug/m3 LC","38","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"05/31/2017","AQS","060990005","1","3.5","ug/m3 LC","19","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"06/12/2017","AQS","060990005","1","5.5","ug/m3 LC","31","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
