"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2016","AQS","060990005","1","12.3","ug/m3 LC","57","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/13/2016","AQS","060990005","1","16.2","ug/m3 LC","64","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/25/2016","AQS","060990005","1","7.3","ug/m3 LC","41","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"02/06/2016","AQS","060990005","1","18.5","ug/m3 LC","69","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"02/18/2016","AQS","060990005","1","4.4","ug/m3 LC","24","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"03/01/2016","AQS","060990005","1","9.5","ug/m3 LC","52","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"03/13/2016","AQS","060990005","1","4.7","ug/m3 LC","26","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"03/28/2016","AQS","060990005","1","3.6","ug/m3 LC","20","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"04/09/2016","AQS","060990005","1","4.4","ug/m3 LC","24","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"04/18/2016","AQS","060990005","1","10.5","ug/m3 LC","54","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","143","R & P Model 2000 PM-2.5 Air Sampler w/VSCC","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
